"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_miles","duration_seconds","rpe"
"PULL","14 Nov 2025, 14:27","14 Nov 2025, 16:33","","Lat Pulldown (Cable)",,"",0,"normal",100,12,,,
"PULL","14 Nov 2025, 14:27","14 Nov 2025, 16:33","","Lat Pulldown (Cable)",,"",1,"normal",100,12,,,
"PULL","14 Nov 2025, 14:27","14 Nov 2025, 16:33","","Lat Pulldown (Cable)",,"",2,"normal",100,12,,,
"PULL","14 Nov 2025, 14:27","14 Nov 2025, 16:33","","Lat Pulldown (Cable)",,"",3,"normal",100,12,,,
"PULL","14 Nov 2025, 14:27","14 Nov 2025, 16:33","","Iso-Lateral Row (Machine)",,"",0,"normal",60,12,,,
"PULL","14 Nov 2025, 14:27","14 Nov 2025, 16:33","","Iso-Lateral Row (Machine)",,"",1,"normal",70,12,,,
"PULL","14 Nov 2025, 14:27","14 Nov 2025, 16:33","","Iso-Lateral Row (Machine)",,"",2,"normal",70,12,,,
"PULL","14 Nov 2025, 14:27","14 Nov 2025, 16:33","","Iso-Lateral Row (Machine)",,"",3,"normal",70,12,,,
"PULL","14 Nov 2025, 14:27","14 Nov 2025, 16:33","","Lat Pulldown - Close Grip (Cable)",,"",0,"normal",100,12,,,
"PULL","14 Nov 2025, 14:27","14 Nov 2025, 16:33","","Lat Pulldown - Close Grip (Cable)",,"",1,"normal",100,12,,,
"PULL","14 Nov 2025, 14:27","14 Nov 2025, 16:33","","Lat Pulldown - Close Grip (Cable)",,"",2,"normal",100,12,,,
"PULL","14 Nov 2025, 14:27","14 Nov 2025, 16:33","","Lat Pulldown - Close Grip (Cable)",,"",3,"normal",100,12,,,
"PULL","14 Nov 2025, 14:27","14 Nov 2025, 16:33","","Pullover (Machine)",,"",0,"normal",70,12,,,
"PULL","14 Nov 2025, 14:27","14 Nov 2025, 16:33","","Pullover (Machine)",,"",1,"normal",70,12,,,
